,accuracy,precision,recall,f1,roc_auc
XGBoost,0.9999223300970874,0.9998360655737705,1.0,0.9999180260677105,1.0
Random Forest,0.9979805825242718,0.9988500082142271,0.9968847352024922,0.9978664040702445,0.9999855057819106
Logistic Regression,0.8271844660194175,0.8139384116693679,0.823413674372848,0.8186486266199364,0.9029984254294499
